num_centers = 38500
epoch_inds: tensor([28994, 10160,  9026,  ...,    -1,    -1,    -1])
e000-i0000 => L=0.484 / t(s): batch=0.842 extract=0.637 vlad=0.030 loss=0.003 optim=0.106
e000-i0002 => L=0.623 / t(s): batch=0.485 extract=0.039 vlad=0.025 loss=0.007 optim=0.106
e000-i0004 => L=0.612 / t(s): batch=0.498 extract=0.040 vlad=0.024 loss=0.011 optim=0.115
e000-i0006 => L=0.785 / t(s): batch=0.483 extract=0.039 vlad=0.024 loss=0.010 optim=0.111
e000-i0008 => L=0.461 / t(s): batch=0.483 extract=0.039 vlad=0.023 loss=0.012 optim=0.113
e000-i0010 => L=0.324 / t(s): batch=0.468 extract=0.038 vlad=0.023 loss=0.011 optim=0.110
e000-i0012 => L=0.601 / t(s): batch=0.470 extract=0.038 vlad=0.022 loss=0.011 optim=0.109
e000-i0014 => L=0.723 / t(s): batch=0.471 extract=0.038 vlad=0.022 loss=0.012 optim=0.119
e000-i0016 => L=0.637 / t(s): batch=0.467 extract=0.038 vlad=0.021 loss=0.012 optim=0.117
e000-i0018 => L=0.471 / t(s): batch=0.448 extract=0.037 vlad=0.021 loss=0.012 optim=0.114
e000-i0020 => L=0.399 / t(s): batch=0.449 extract=0.037 vlad=0.021 loss=0.011 optim=0.111
e000-i0022 => L=0.490 / t(s): batch=0.444 extract=0.036 vlad=0.021 loss=0.011 optim=0.109
e000-i0024 => L=0.689 / t(s): batch=0.436 extract=0.035 vlad=0.021 loss=0.009 optim=0.103
e000-i0026 => L=0.612 / t(s): batch=0.434 extract=0.034 vlad=0.021 loss=0.008 optim=0.101
e000-i0028 => L=1.210 / t(s): batch=0.433 extract=0.034 vlad=0.021 loss=0.008 optim=0.102
e000-i0030 => L=0.417 / t(s): batch=0.440 extract=0.035 vlad=0.021 loss=0.010 optim=0.106
e000-i0032 => L=0.750 / t(s): batch=0.445 extract=0.036 vlad=0.021 loss=0.011 optim=0.108
e000-i0034 => L=0.819 / t(s): batch=0.430 extract=0.035 vlad=0.021 loss=0.010 optim=0.104
e000-i0036 => L=0.655 / t(s): batch=0.453 extract=0.037 vlad=0.023 loss=0.012 optim=0.109
e000-i0038 => L=0.293 / t(s): batch=0.461 extract=0.038 vlad=0.022 loss=0.013 optim=0.112
e000-i0040 => L=0.612 / t(s): batch=0.469 extract=0.038 vlad=0.022 loss=0.014 optim=0.118
e000-i0042 => L=0.711 / t(s): batch=0.488 extract=0.041 vlad=0.022 loss=0.014 optim=0.119
e000-i0044 => L=0.444 / t(s): batch=0.471 extract=0.040 vlad=0.022 loss=0.012 optim=0.113
e000-i0046 => L=0.321 / t(s): batch=0.469 extract=0.039 vlad=0.022 loss=0.012 optim=0.111
e000-i0048 => L=0.112 / t(s): batch=0.460 extract=0.038 vlad=0.022 loss=0.011 optim=0.109
e000-i0050 => L=0.699 / t(s): batch=0.473 extract=0.039 vlad=0.022 loss=0.012 optim=0.111
e000-i0052 => L=1.115 / t(s): batch=0.474 extract=0.038 vlad=0.022 loss=0.011 optim=0.109
e000-i0054 => L=1.587 / t(s): batch=0.464 extract=0.037 vlad=0.021 loss=0.010 optim=0.106
e000-i0056 => L=0.336 / t(s): batch=0.462 extract=0.037 vlad=0.022 loss=0.010 optim=0.105
e000-i0058 => L=1.005 / t(s): batch=0.458 extract=0.036 vlad=0.021 loss=0.009 optim=0.102
e000-i0060 => L=0.457 / t(s): batch=0.447 extract=0.035 vlad=0.021 loss=0.009 optim=0.099
e000-i0062 => L=0.532 / t(s): batch=0.463 extract=0.037 vlad=0.021 loss=0.012 optim=0.108
e000-i0064 => L=0.601 / t(s): batch=0.536 extract=0.039 vlad=0.022 loss=0.011 optim=0.106
e000-i0066 => L=1.183 / t(s): batch=0.504 extract=0.037 vlad=0.021 loss=0.011 optim=0.102
e000-i0068 => L=0.628 / t(s): batch=0.496 extract=0.038 vlad=0.021 loss=0.012 optim=0.105
e000-i0070 => L=0.342 / t(s): batch=0.481 extract=0.037 vlad=0.021 loss=0.011 optim=0.102
e000-i0072 => L=0.829 / t(s): batch=0.478 extract=0.038 vlad=0.021 loss=0.013 optim=0.111
e000-i0074 => L=1.338 / t(s): batch=0.483 extract=0.037 vlad=0.021 loss=0.013 optim=0.110
e000-i0076 => L=0.437 / t(s): batch=0.476 extract=0.039 vlad=0.020 loss=0.013 optim=0.111
e000-i0078 => L=0.606 / t(s): batch=0.473 extract=0.039 vlad=0.020 loss=0.012 optim=0.109
e000-i0080 => L=0.727 / t(s): batch=0.464 extract=0.038 vlad=0.020 loss=0.012 optim=0.108
e000-i0082 => L=0.768 / t(s): batch=0.469 extract=0.038 vlad=0.020 loss=0.012 optim=0.107
e000-i0084 => L=0.576 / t(s): batch=0.457 extract=0.036 vlad=0.020 loss=0.010 optim=0.104
e000-i0086 => L=0.632 / t(s): batch=0.454 extract=0.037 vlad=0.020 loss=0.011 optim=0.105
e000-i0088 => L=0.646 / t(s): batch=0.454 extract=0.037 vlad=0.020 loss=0.011 optim=0.105
e000-i0090 => L=0.751 / t(s): batch=0.441 extract=0.036 vlad=0.021 loss=0.011 optim=0.104
e000-i0092 => L=0.656 / t(s): batch=0.454 extract=0.038 vlad=0.021 loss=0.015 optim=0.112
e000-i0094 => L=0.655 / t(s): batch=0.445 extract=0.038 vlad=0.021 loss=0.014 optim=0.110
e000-i0096 => L=0.720 / t(s): batch=0.451 extract=0.038 vlad=0.021 loss=0.014 optim=0.112
e000-i0098 => L=0.643 / t(s): batch=0.457 extract=0.038 vlad=0.021 loss=0.014 optim=0.113
e000-i0100 => L=0.691 / t(s): batch=0.455 extract=0.039 vlad=0.021 loss=0.014 optim=0.114
e000-i0102 => L=0.704 / t(s): batch=0.453 extract=0.039 vlad=0.021 loss=0.015 optim=0.115
e000-i0104 => L=0.718 / t(s): batch=0.453 extract=0.039 vlad=0.021 loss=0.015 optim=0.115
e000-i0106 => L=0.674 / t(s): batch=0.446 extract=0.037 vlad=0.021 loss=0.014 optim=0.111
e000-i0108 => L=0.677 / t(s): batch=0.445 extract=0.038 vlad=0.020 loss=0.014 optim=0.112
e000-i0110 => L=0.696 / t(s): batch=0.451 extract=0.038 vlad=0.020 loss=0.013 optim=0.111
e000-i0112 => L=0.658 / t(s): batch=0.471 extract=0.039 vlad=0.021 loss=0.015 optim=0.117
e000-i0114 => L=0.616 / t(s): batch=0.502 extract=0.039 vlad=0.021 loss=0.014 optim=0.116
e000-i0116 => L=0.652 / t(s): batch=0.487 extract=0.039 vlad=0.021 loss=0.012 optim=0.112
e000-i0118 => L=0.613 / t(s): batch=0.471 extract=0.038 vlad=0.021 loss=0.011 optim=0.108
e000-i0120 => L=0.677 / t(s): batch=0.460 extract=0.037 vlad=0.021 loss=0.011 optim=0.106
e000-i0122 => L=0.642 / t(s): batch=0.476 extract=0.038 vlad=0.021 loss=0.012 optim=0.108
e000-i0124 => L=0.729 / t(s): batch=0.469 extract=0.038 vlad=0.021 loss=0.012 optim=0.108
e000-i0126 => L=0.765 / t(s): batch=0.449 extract=0.037 vlad=0.021 loss=0.010 optim=0.104
e000-i0128 => L=0.614 / t(s): batch=0.448 extract=0.037 vlad=0.021 loss=0.011 optim=0.108
e000-i0130 => L=0.702 / t(s): batch=0.432 extract=0.036 vlad=0.021 loss=0.010 optim=0.103
e000-i0132 => L=0.653 / t(s): batch=0.440 extract=0.037 vlad=0.021 loss=0.010 optim=0.104
e000-i0134 => L=0.664 / t(s): batch=0.430 extract=0.037 vlad=0.021 loss=0.010 optim=0.104
e000-i0136 => L=0.721 / t(s): batch=0.435 extract=0.037 vlad=0.021 loss=0.010 optim=0.105
e000-i0138 => L=0.569 / t(s): batch=0.442 extract=0.038 vlad=0.021 loss=0.011 optim=0.115
e000-i0139 => L=0.543 / t(s): batch=0.536 extract=0.038 vlad=0.021 loss=0.012 optim=0.119
e000-i0140 => L=0.597 / t(s): batch=0.615 extract=0.039 vlad=0.021 loss=0.013 optim=0.120
e000-i0142 => L=0.655 / t(s): batch=0.593 extract=0.039 vlad=0.021 loss=0.016 optim=0.121
e000-i0144 => L=0.640 / t(s): batch=0.586 extract=0.038 vlad=0.021 loss=0.014 optim=0.114
e000-i0146 => L=0.817 / t(s): batch=0.545 extract=0.037 vlad=0.021 loss=0.013 optim=0.109
e000-i0148 => L=0.649 / t(s): batch=0.532 extract=0.037 vlad=0.021 loss=0.017 optim=0.110
e000-i0150 => L=0.691 / t(s): batch=0.514 extract=0.037 vlad=0.021 loss=0.016 optim=0.110
e000-i0152 => L=0.713 / t(s): batch=0.510 extract=0.037 vlad=0.020 loss=0.015 optim=0.110
e000-i0154 => L=0.446 / t(s): batch=0.494 extract=0.037 vlad=0.021 loss=0.014 optim=0.107
e000-i0156 => L=0.668 / t(s): batch=0.484 extract=0.037 vlad=0.021 loss=0.014 optim=0.109
e000-i0158 => L=0.482 / t(s): batch=0.475 extract=0.037 vlad=0.021 loss=0.014 optim=0.109
e000-i0160 => L=0.625 / t(s): batch=0.478 extract=0.037 vlad=0.020 loss=0.012 optim=0.106
e000-i0162 => L=0.664 / t(s): batch=0.486 extract=0.038 vlad=0.021 loss=0.013 optim=0.111
e000-i0164 => L=0.719 / t(s): batch=0.493 extract=0.039 vlad=0.020 loss=0.015 optim=0.115
e000-i0166 => L=0.700 / t(s): batch=0.488 extract=0.039 vlad=0.020 loss=0.014 optim=0.113
